source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	action figure	action figure	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=1;printed-locators=18
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	add	add	verb		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=2;printed-locators=2
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	afternoon	afternoon	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=3;printed-locators=25
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	airplane	airplane	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=4;printed-locators=12
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	airport	airport	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=5;printed-locators=12
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	alien	alien	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=6;printed-locators=18
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	alphabet	alphabet	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=7;printed-locators=2
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	and	and	conjunction		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=8;printed-locators=17,G11
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	animal	animal	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=9;printed-locators=5
English for Everyone Junior: Beginners Course	english-for-everyone-junior-beginners	answer	answer	noun		Alphabetical Word list	250	registry:english-for-everyone-junior-beginners		Candidate-only explicit Word list entry; printed POS and unit locator only; no entry-level CEFR inferred; editorial review required.	lexical_candidate	candidate_only	pdf	pdf:page=250;section=word-list;column=1;entry=10;printed-locators=G13
