source	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	registry_source_id	source_role	corpus_policy	source_format	locator
Student IELTS Listening Unknowns 2026-08-01	universal	universal	adj.		社会与通用学术		student-listening-unknowns-2026-08-01:item-1		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:1
Student IELTS Listening Unknowns 2026-08-01	scale	scale	n.		通用学术		student-listening-unknowns-2026-08-01:item-2		Learner-reported listening unknown; current training sense is scale of a problem.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:2
Student IELTS Listening Unknowns 2026-08-01	sketchy	sketchy	adj.		信息与描述		student-listening-unknowns-2026-08-01:item-3		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:3
Student IELTS Listening Unknowns 2026-08-01	corridor	corridor	n.		建筑与空间		student-listening-unknowns-2026-08-01:item-4		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:4
Student IELTS Listening Unknowns 2026-08-01	pamphlet	pamphlet	n.		信息与传播		student-listening-unknowns-2026-08-01:item-5		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:5
Student IELTS Listening Unknowns 2026-08-01	midst	midst	n. [U] formal		通用学术		student-listening-unknowns-2026-08-01:item-6		Learner-reported listening unknown; prioritize the chunk in the midst of.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:6
Student IELTS Listening Unknowns 2026-08-01	crisis	crisis	n.		社会问题		student-listening-unknowns-2026-08-01:item-7		Learner-reported listening unknown; irregular plural is trained separately.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:7
Student IELTS Listening Unknowns 2026-08-01	wellness	wellness	n. [U]		健康与生活方式		student-listening-unknowns-2026-08-01:item-8		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:8
Student IELTS Listening Unknowns 2026-08-01	lay	lay	v.		动作与建造		student-listening-unknowns-2026-08-01:item-9		Learner-reported listening unknown; current training sense is transitive place or put.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:9
Student IELTS Listening Unknowns 2026-08-01	perspective	perspective	n.		观点与艺术		student-listening-unknowns-2026-08-01:item-10		Learner-reported listening unknown; current training sense is viewpoint.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:10
Student IELTS Listening Unknowns 2026-08-01	heal	heal	v. [I/T]		健康		student-listening-unknowns-2026-08-01:item-11		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:11
Student IELTS Listening Unknowns 2026-08-01	mindfulness	mindfulness	n. [U]		心理与健康		student-listening-unknowns-2026-08-01:item-12		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:12
Student IELTS Listening Unknowns 2026-08-01	rite	rite	n. [C]		文化与宗教		student-listening-unknowns-2026-08-01:item-13		Learner-reported listening unknown; distinguish rite from right and write.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:13
Student IELTS Listening Unknowns 2026-08-01	fertility	fertility	n. [U]		人口、农业与文化		student-listening-unknowns-2026-08-01:item-14		Learner-reported listening unknown; current training sense remains context-sensitive.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:14
Student IELTS Listening Unknowns 2026-08-01	turf	turf	n. / v.		景观与体育		student-listening-unknowns-2026-08-01:item-15		Learner-reported listening unknown; current training sense is grass surface.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:15
Student IELTS Listening Unknowns 2026-08-01	actual	actual	adj.		通用学术		student-listening-unknowns-2026-08-01:item-16		Learner-reported listening unknown; commonly used before a noun; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:16
Student IELTS Listening Unknowns 2026-08-01	empire	empire	n. [C]		历史与社会		student-listening-unknowns-2026-08-01:item-17		Learner-reported listening unknown; common noun sense only.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:17
Student IELTS Listening Unknowns 2026-08-01	tomb	tomb	n. [C]		历史与考古		student-listening-unknowns-2026-08-01:item-18		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:18
Student IELTS Listening Unknowns 2026-08-01	villa	villa	n. [C]		建筑与历史		student-listening-unknowns-2026-08-01:item-19		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:19
Student IELTS Listening Unknowns 2026-08-01	mosaic	mosaic	n. / adj.		艺术与历史		student-listening-unknowns-2026-08-01:item-20		Learner-reported listening unknown; current training sense is an image or pattern made from small pieces.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:20
Student IELTS Listening Unknowns 2026-08-01	cosmology	cosmology	n.		科学与文化		student-listening-unknowns-2026-08-01:item-21		Learner-reported listening unknown; context is required to separate scientific and cultural senses.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:21
Student IELTS Listening Unknowns 2026-08-01	tribe	tribe	n. [C]		社会与人类学		student-listening-unknowns-2026-08-01:item-22		Learner-reported listening unknown; common noun sense only.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:22
Student IELTS Listening Unknowns 2026-08-01	carve	carve	v.		艺术与动作		student-listening-unknowns-2026-08-01:item-23		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:23
Student IELTS Listening Unknowns 2026-08-01	prayer	prayer	n. [C/U]		文化与宗教		student-listening-unknowns-2026-08-01:item-24		Learner-reported listening unknown; train as one syllable in ordinary connected speech.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:24
