entry_id	headword	parts_of_speech	cefr_levels	primary_skill	image_guess	synonym_antonym	homophone	homograph	analogy	category_taxonomy	collocation	editorial_status	approved_sense	related_headwords	teacher_notes
dis-honest-6bcd2ca1	(dis)honest	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
first-round-f6f45bd7	(first) round	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
football-stadium-c7f9a788	(football) stadium	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
golf-club-ef7da29d	(golf) club	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
golf-course-6e621a6c	(golf) course	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
ice-hockey-999045ce	(ice) hockey	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
im-patient-2bcaacd2	(im)patient	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
im-polite-9991ffd0	(im)polite	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
in-tune-9d51dcb1	(in) tune	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
in-considerate-965f8126	(in)considerate	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
taxi-meter-1a3c8a83	(taxi) meter	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
tennis-squash-court-3a32e289	(tennis/squash) court	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
tree-trunk-c1ad5cc9	(tree) trunk	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
un-healthy-e6fa07e1	(un)healthy	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
un-imaginative-60297d9e	(un)imaginative	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
un-kind-c4dbd728	(un)kind	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
un-popular-5d843001	(un)popular	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
un-reliable-24361bab	(un)reliable	adjective	B2	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
wet-dry-season-9f4cf83a	(wet/dry) season	noun	B2	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-concept-car-15b47001	a concept car	noun	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-fair-number-of-sth-aef8fb7f	a fair number of sth	noun|noun phrase	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-high-incidence-of-sth-13edc9fd	a high incidence of sth	noun|noun phrase	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-hotbed-of-sth-f87440a3	a hotbed of sth	noun|noun phrase	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-link-between-sth-and-sth-c0f4c2eb	a link between sth and sth	noun|noun phrase	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
a-m-d5f426ad	a.m.	adverb	A2|B1	speaking	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abandon-f930859e	abandon	verb	B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
ability-083dbabe	ability	noun	A2|B1	listening	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
able-782e5ce8	able	adjective	A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abolish-5194d926	abolish	verb	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abortion-07a47c95	abortion	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
about-5780daf6	about	adverb|preposition	A1|A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
above-9fbb3974	above	adjective|adverb|preposition	A1|A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	pos_evidence_candidate	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abroad-5fcf5cdf	abroad	adverb	A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abseiling-38b2802b	abseiling	unspecified		listening	not_flagged	not_flagged	needs_pronunciation_evidence	not_flagged	not_flagged	not_flagged	not_flagged	needs_teacher_review			
absence-d3f03149	absence	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
absent-16ca7689	absent	adjective	B1|C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
absolute-da4dbfbc	absolute	adjective	B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
absolutely-fac99d4f	absolutely	adverb	B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
absolutely-perfect-9171fc3b	absolutely perfect	adjective|adverb	C1	writing	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
absorb-846e2a86	absorb	verb	B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abstract-ec3ec333	abstract	adjective	B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abstract-painting-18d19a08	abstract painting	noun|noun phrase	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
absurd-c51b51e7	absurd	adjective	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
abundance-e5e3b73b	abundance	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
abuse-39ca1c87	abuse	noun|verb	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	pos_evidence_candidate	needs_editorial_review	needs_hypernym_review	needs_usage_evidence	needs_teacher_review			
academic-27bc2c56	academic	adjective|noun	B1|B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	pos_evidence_candidate	needs_editorial_review	needs_hypernym_review	needs_usage_evidence	needs_teacher_review			
academy-cb2766cf	academy	noun	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accelerate-0b6adcfd	accelerate	verb	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accelerator-a8e84e27	accelerator	noun	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accent-50f8438e	accent	noun	B1|B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accept-5fb801f2	accept	verb	A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
acceptable-cab5b6e0	acceptable	adjective	B1|B2|C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
acceptance-0dfa061f	acceptance	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
access-0f12541a	access	noun|verb	B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	pos_evidence_candidate	needs_editorial_review	needs_hypernym_review	needs_usage_evidence	needs_teacher_review			
accessible-7b09471c	accessible	adjective	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accident-f2b195dc	accident	noun	A2|B1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accidentally-b7f71f41	accidentally	adverb	B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
acclimatise-62f945a5	acclimatise	verb	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accommodate-d0da2a38	accommodate	verb	B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accommodation-65b0cfa2	accommodation	noun	B1	listening	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accompany-84900cb6	accompany	verb	B1|B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accomplish-525cac8b	accomplish	verb	B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accomplishment-b0495f6e	accomplishment	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accordance-5bc1fa29	accordance	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accordingly-e5fc8009	accordingly	adverb	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
account-ca20728d	account	noun|verb	B1|B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	pos_evidence_candidate	needs_editorial_review	needs_hypernym_review	needs_usage_evidence	needs_teacher_review			
account-for-sth-ce1dd8c9	account for sth	verb	C1	reading	needs_approved_sense	needs_editorial_review	not_flagged	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accountability-f7f50285	accountability	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accountable-9611bd9d	accountable	adjective	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accountant-4cd5edcd	accountant	noun	B1|B2	listening	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accumulate-da612b00	accumulate	verb	C1	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accumulation-49d1ce87	accumulation	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accuracy-26de05a4	accuracy	noun	B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accurate-72c8f75b	accurate	adjective	B1|B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accurately-659e5375	accurately	adverb	B2	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
accusation-5116a72c	accusation	noun	C1	writing	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	needs_hypernym_review	not_flagged	needs_teacher_review			
accuse-d3e0c4f5	accuse	verb	B2	reading	needs_approved_sense	needs_editorial_review	needs_pronunciation_evidence	not_flagged	needs_editorial_review	not_flagged	needs_usage_evidence	needs_teacher_review			
