source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Monday	Monday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Tuesday	Tuesday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Wednesday	Wednesday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Thursday	Thursday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Friday	Friday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Saturday	Saturday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	Sunday	Sunday			Days of the week | explicit lexical targets	2	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=2;section=explicit_color_key
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	January	January			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	February	February			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	March	March			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	April	April			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	May	May			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	June	June			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	July	July			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	August	August			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	September	September			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	October	October			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	November	November			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	December	December			Months of the year | explicit lexical targets	4	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=4;section=explicit_month_chart
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	diamond	diamond	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	square	square	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	octagon	octagon	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	triangle	triangle	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	rectangle	rectangle	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	circle	circle	noun		Geometric shapes | explicit lexical targets	16	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=16;section=explicit_shape_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	meter	meter	noun		Metric measurement | explicit lexical targets	22	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=22;section=explicit_unit_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	centimeter	centimeter	noun		Metric measurement | explicit lexical targets	22	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=22;section=explicit_unit_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	kilometer	kilometer	noun		Metric measurement | explicit lexical targets	22	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=22;section=explicit_unit_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	decimeter	decimeter	noun		Metric measurement | explicit lexical targets	22	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=22;section=explicit_unit_list
Scholastic Success with Vocabulary, Grade 1	scholastic-success-vocabulary-grade-1	spring	spring	noun		Seasons | explicit lexical targets	24	registry:scholastic-success-vocabulary-grade-1		Explicit printed word-bank, list, chart or label form only; lemma, sense and IELTS relevance require editorial review.	lexical_candidate	candidate_only	pdf	pdf:explicit-lexical-targets;pdf_page=24;section=explicit_diagram_labels
