id	headword	status	parts_of_speech	cefr_levels	primary_skill	primary_reason	skill_labels	skill_confidence	source_count	sources	topics	image_mode	image_priority	homograph_candidate
dis-honest-6bcd2ca1	(dis)honest	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
first-round-f6f45bd7	(first) round	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 31 | Sport	context-scene	medium	false
football-stadium-c7f9a788	(football) stadium	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 35 | Facilities	context-scene	medium	false
golf-club-ef7da29d	(golf) club	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 31 | Sport	context-scene	medium	false
golf-course-6e621a6c	(golf) course	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 31 | Sport	context-scene	medium	false
ice-hockey-999045ce	(ice) hockey	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 31 | Sport	context-scene	medium	false
im-patient-2bcaacd2	(im)patient	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
im-polite-9991ffd0	(im)polite	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
in-tune-9d51dcb1	(in) tune	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 27 | Music	context-scene	medium	false
in-considerate-965f8126	(in)considerate	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
taxi-meter-1a3c8a83	(taxi) meter	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 33 | Transport and travel	context-scene	medium	false
tennis-squash-court-3a32e289	(tennis/squash) court	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 31 | Sport	context-scene	medium	false
tree-trunk-c1ad5cc9	(tree) trunk	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 25 | Geography	context-scene	medium	false
un-healthy-e6fa07e1	(un)healthy	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 26 | Healthy eating	contrast-pair	medium	false
