source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	Word List after	Word List after			Lesson 03 | printed page 12	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=12
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	dance	dance			Lesson 10 | printed page 33	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=33
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	hand	hand			Lesson 21 | printed page 66	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=66
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	off	off			Lesson 03 | printed page 12	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=12
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	shiny	shiny			Lesson 08 | printed page 27	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=27
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	touch	touch			Lesson 20 | printed page 63	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=63
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	afternoon	afternoon			Lesson 16 | printed page 51	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=51
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	daughter	daughter			Lesson 15 | printed page 48	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=48
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	hard	hard			Lesson 08 | printed page 27	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=27
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	olive	olive			Lesson 23 | printed page 72	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=72
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	sister	sister			Lesson 15 | printed page 48	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=48
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	tree	tree			Lesson 24 | printed page 75	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=75
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	answer	answer			Lesson 04 | printed page 15	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=15
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	day	day			Lesson 16 | printed page 51	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=51
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	hay	hay			Lesson 17 | printed page 54	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=54
240 Vocabulary Words Kids Need to Know, Grade 1	scholastic-240-vocabulary-grade-1	on	on			Lesson 03 | printed page 12	80	registry:scholastic-240-vocabulary-grade-1		Candidate-only explicit source target; spelling, sense, proper-name and IELTS relevance review required before promotion.	lexical_candidate	candidate_only	pdf	pdf:page=80,section=word-list,target-printed-page=12
