id	headword	parts_of_speech	cefr_levels	primary_skill	mode	priority	prompt_status	teacher_approved_sense	image_status	proper_noun_sense_removed
collect-b3d0a844	collect	verb|verb phrase	A2|B1|B2	listening	context-scene	high	needs_teacher_approved_sense		pending	no
dull-738a85cf	dull	adjective	B1|B2|C1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
fit-9c20b9ba	fit	adjective|noun|verb	A2|B1|B2|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
medicine-ea5eb8e2	medicine	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
say-dc01c6b7	say	noun|verb	A1|A2|B1|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
screen-35b19fa8	screen	noun|verb	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
silver-f8248e12	silver	adjective|noun	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
trip-fdd91fba	trip	noun|verb	A1|A2|B1|B2|C1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
underground-105b8a8c	underground	adjective|adverb|noun	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
accountant-4cd5edcd	accountant	noun	B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
activity-0bf41704	activity	noun	A1|A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
advanced-e6285436	advanced	adjective	A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
airport-6b5465bf	airport	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
amazing-5749570a	amazing	adjective	A1|A2|B1|B2	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
ancient-9c92ad25	ancient	adjective	A2|B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
appointment-d93e8eec	appointment	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
architect-e58c93c4	architect	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
architecture-f380cbcd	architecture	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
arm-ed945d6b	arm	noun|verb	A1|A2|B1|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
athlete-28225711	athlete	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
audience-a4930bb8	audience	noun	A2|B1|B2	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
bank-bdd240c8	bank	noun	A1|A2|B1|B2	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
bark-cc86fbef	bark	noun|verb	B2|C1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
baseball-a2c901c8	baseball	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
basketball-468ee5cb	basketball	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
bedroom-009e058c	bedroom	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
black-466bc8ce	black	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
blue-4c9a82ce	blue	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
board-9ea5e97d	board	noun|verb|verb phrase	A2|B1|B2	speaking	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
boat-2a50ddf9	boat	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
boil-807a11e7	boil	verb	A2|B1|B2	reading	action-scene	high	needs_teacher_approved_sense		pending	no
borrow-72cd0a82	borrow	verb	A2|B1	listening	action-scene	high	needs_teacher_approved_sense		pending	no
bread-6ff291d8	bread	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
bridge-2fa1981b	bridge	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
brown-9166eeff	brown	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
career-25f6f053	career	noun	A1|A2|B1|B2	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
cash-a34c860a	cash	noun|verb	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
castle-36e473c8	castle	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
century-75a03fc2	century	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
cheap-fb8df41a	cheap	adjective|adverb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
cheese-bcef7a04	cheese	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
chemistry-822131fc	chemistry	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
chocolate-891c5fee	chocolate	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
class-8d767bf5	class	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
classical-4a19573b	classical	adjective	A2|B1|B2	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
classroom-be45c8f0	classroom	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
clear-168cbb2e	clear	adjective|verb	A2|B1|B2	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
coach-c63c8ec7	coach	noun|verb	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
cold-424fa439	cold	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
colleague-ace6752b	colleague	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
college-d9c4e99a	college	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
comfortable-2b867d92	comfortable	adjective	A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
competition-1b44f6dd	competition	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
compulsory-c66a1fd2	compulsory	adjective	B2|C1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
concert-9ff2adb3	concert	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
confident-39a449bf	confident	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
cool-85d8d76b	cool	adjective|exclamation|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
customer-b39f008e	customer	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
dangerous-6e6ec3a6	dangerous	adjective	A1|A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
dentist-e0f93756	dentist	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
department-eb3c6269	department	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
dictionary-f18bfb74	dictionary	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
dry-ef926a85	dry	adjective|verb	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
economics-17a7fac7	economics	noun	B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
efficient-8527edb7	efficient	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
end-up-8ab18c8f	end up	phrasal verb|verb|verb phrase	B1|B2|C1	reading	context-scene	high	needs_teacher_approved_sense		pending	no
engineer-8d7050ff	engineer	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
entrance-df33994d	entrance	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
exciting-29324637	exciting	adjective	A1|A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
exhibition-bf0d88b0	exhibition	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
expensive-e0d587ce	expensive	adjective	A1|A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
family-c33f059b	family	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
fat-5b5fb1c9	fat	adjective|noun	A1|A2|B1|B2	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
festival-f1143089	festival	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
field-2da0b68d	field	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
fine-2a1b875b	fine	adjective|noun|verb	A1|A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
fish-64875fcc	fish	noun|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
flexible-ac6636e3	flexible	adjective	B2|C1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
