source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	annual	annual			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	atmosphere	atmosphere			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	carnival	carnival			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	commemorate	commemorate			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	cultural	cultural			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	decorations	decorations			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	in honour of	in honour of			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	international	international			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	major	major			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	occasion	occasion			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
